# time = 0
# Grid points = 408
# Domain Size = 7
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -2.3440262135e+00  -2.3525569659e+00   1.0000000000e+00   1.8500000000e-04   2.6458989864e-01  -9.3538059758e-01  -9.7615142034e-01
  -2.3299424605e+00  -2.3354954612e+00   1.0000000000e+00   1.8500000000e-04   3.6540107316e-01  -7.3933681114e-01  -8.8401007434e-01
  -2.3211133786e+00  -2.3243894599e+00   1.0000000000e+00   1.8500000000e-04   6.2334057088e-03  -7.3046624037e-01  -1.1379695584e+00
  -2.3140411529e+00  -2.3178372974e+00   1.0000000000e+00   1.8500000000e-04   2.5689382733e-01  -7.3613170207e-01  -9.2604812992e-01
  -2.3050625250e+00  -2.3102450084e+00   1.0000000000e+00   1.8500000000e-04   2.0507858084e-01  -6.4299267089e-01  -5.4684158166e-01
  -2.2946975582e+00  -2.2998800416e+00   1.0000000000e+00   1.8500000000e-04  -6.7940830194e-02  -4.3873927524e-01  -1.8685565056e-01
  -2.2856305273e+00  -2.2895150748e+00   1.0000000000e+00   1.8500000000e-04  -3.1591622003e-01  -2.5425261530e-01  -9.7104784737e-02
  -2.2783616398e+00  -2.2817459797e+00   1.0000000000e+00   1.8500000000e-04  -4.1263136865e-01  -7.7066969297e-02  -1.4240160524e-01
  -2.2685298810e+00  -2.2749772999e+00   1.0000000000e+00   1.8500000000e-04  -2.0872396126e-01   1.1235128186e-01  -4.5536031559e-01
  -2.2518491586e+00  -2.2620824621e+00   1.0000000000e+00   1.8500000000e-04   1.0351620998e-01   1.9879098071e-01  -9.2277057653e-01
  -2.2313825518e+00  -2.2416158552e+00   1.0000000000e+00   1.8500000000e-04   9.4041215971e-02   1.0862335150e-01  -1.2010503489e+00
