# time = 0
# Grid points = 169
# Domain Size = 14
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
   1.6039238312e+00   1.5350695989e+00   1.0000000000e+00   1.2500000000e-02   1.5878072152e-01  -6.0350559817e-01  -5.5680633314e-02
   1.7395550290e+00   1.6727780635e+00   1.0000000000e+00   1.2500000000e-02   1.7219054814e-01  -7.4119308751e-01  -5.7502058903e-02
   1.8710229548e+00   1.8063319945e+00   1.0000000000e+00   1.2500000000e-02   1.9406499499e-01  -8.3412104458e-01  -5.7655944314e-02
   1.9984871230e+00   1.9357139150e+00   1.0000000000e+00   1.2500000000e-02   2.2209269188e-01  -8.7837985351e-01  -5.7790190574e-02
   2.1219651794e+00   2.0612603309e+00   1.0000000000e+00   1.2500000000e-02   2.5531983213e-01  -8.7609967092e-01  -5.8284890813e-02
   2.2407371539e+00   2.1826700280e+00   1.0000000000e+00   1.2500000000e-02   2.9364366829e-01  -8.3495271330e-01  -5.8391518858e-02
   2.3533876129e+00   2.2988042799e+00   1.0000000000e+00   1.2500000000e-02   3.3722672306e-01  -7.6683861577e-01  -5.6874604203e-02
   2.4583145064e+00   2.4079709460e+00   1.0000000000e+00   1.2500000000e-02   3.8592864064e-01  -6.8498332395e-01  -5.2838871273e-02
   2.5544560822e+00   2.5086580668e+00   1.0000000000e+00   1.2500000000e-02   4.3903664781e-01  -6.0052008906e-01  -4.6188718636e-02
   2.6417102808e+00   2.6002540976e+00   1.0000000000e+00   1.2500000000e-02   4.9544414375e-01  -5.2057476171e-01  -3.7477773706e-02
   2.7208105407e+00   2.6831664641e+00   1.0000000000e+00   1.2500000000e-02   5.5403310964e-01  -4.4849322950e-01  -2.7481081514e-02
   2.7929296140e+00   2.7584546173e+00   1.0000000000e+00   1.2500000000e-02   6.1393707897e-01  -3.8513639080e-01  -1.6884600255e-02
   2.8593291505e+00   2.8274046106e+00   1.0000000000e+00   1.2500000000e-02   6.7459777385e-01  -3.3011780108e-01  -6.1814978797e-03
   2.9211624796e+00   2.8912536904e+00   1.0000000000e+00   1.2500000000e-02   7.3570005698e-01  -2.8258806629e-01   4.3122517652e-03
   2.9794045951e+00   2.9510712688e+00   1.0000000000e+00   1.2500000000e-02   7.9708193090e-01  -2.4162360372e-01   1.4409072308e-02
